"Date","Time","Open","High","Low","Close","Volume"
01/28/2002,1030,576.05,576.05,574.65,576.05,10
01/28/2002,1130,573.65,574.15,573.65,574.15,5
01/28/2002,1230,572.95,572.95,571.45,572.95,13
01/28/2002,1330,571.55,571.85,571.25,571.35,51
01/28/2002,1430,572.15,572.15,571.95,572.05,5
01/28/2002,1530,572.85,572.85,572.25,572.85,8
01/28/2002,1602,573.85,574.15,573.85,573.85,27
01/29/2002,1030,574.65,574.65,572.95,574.65,55
01/29/2002,1130,571.15,571.15,567.45,571.15,21
01/29/2002,1430,566.45,566.45,566.45,566.45,3
01/29/2002,1530,563.55,563.75,562.35,563.55,4
01/29/2002,1554,563.95,564.55,563.65,563.95,10
01/30/2002,1030,562.65,564.05,559.95,562.65,113
01/30/2002,1130,560.85,561.15,560.85,560.95,5
01/30/2002,1230,560.35,560.35,557.75,560.35,11
01/30/2002,1430,560.95,563.65,560.95,560.95,9
01/30/2002,1530,562.45,567.25,562.45,562.45,221
01/30/2002,1604,567.75,570.45,567.75,567.75,9
01/31/2002,0930,569.65,571.65,569.65,571.65,2
01/31/2002,1030,571.15,571.65,570.15,571.15,22
01/31/2002,1130,569.25,569.25,569.15,569.15,75
01/31/2002,1230,570.65,570.65,570.65,570.65,10
01/31/2002,1430,572.65,572.65,571.95,572.65,7
01/31/2002,1530,572.65,572.65,570.95,572.65,15
01/31/2002,1614,571.15,572.25,570.55,571.15,70
02/01/2002,1030,571.95,571.95,571.95,571.95,10
02/01/2002,1230,570.35,570.35,568.95,570.35,9
02/01/2002,1330,569.05,569.05,568.55,569.05,9
02/01/2002,1530,570.65,571.05,570.65,570.65,6
02/01/2002,1615,570.45,570.45,569.75,570.45,14
02/04/2002,1030,566.15,566.15,563.85,566.15,187
02/04/2002,1130,563.65,564.55,563.65,563.65,10
02/04/2002,1230,564.75,564.85,563.15,564.85,6
02/04/2002,1330,560.95,560.95,560.95,560.95,6
02/04/2002,1430,561.35,561.95,561.35,561.55,25
02/04/2002,1530,562.15,562.15,559.35,562.15,9
02/04/2002,1534,558.85,558.85,558.55,558.85,16
02/05/2002,1030,555.85,557.45,555.85,555.85,28
02/05/2002,1130,558.55,562.35,558.55,558.55,31
02/05/2002,1330,558.85,558.85,558.85,558.85,3
02/05/2002,1430,559.85,559.85,559.85,559.85,3
02/05/2002,1530,559.05,559.05,558.45,559.05,4
02/05/2002,1601,557.95,559.65,556.95,557.55,47
02/06/2002,1030,560.15,560.15,557.55,560.15,20
02/06/2002,1130,554.25,555.15,553.35,554.15,71
02/06/2002,1230,554.15,554.25,554.15,554.25,10
02/06/2002,1430,555.55,555.55,555.45,555.55,9
02/06/2002,1530,554.75,554.85,554.65,554.65,16
02/06/2002,1630,554.65,554.65,554.65,554.65,30
02/06/2002,1930,554.15,554.15,554.15,554.15,1
02/07/2002,0930,546.65,546.65,546.65,546.65,1
02/07/2002,1030,554.15,554.25,550.95,554.15,20
02/07/2002,1130,550.85,553.45,550.85,551.55,18
02/07/2002,1230,554.05,554.05,554.05,554.05,3
02/07/2002,1530,552.15,552.15,551.85,552.05,19
02/07/2002,1609,551.65,551.65,549.95,551.65,20
02/08/2002,1030,552.25,555.15,552.15,552.15,59
02/08/2002,1130,555.95,556.45,555.95,556.05,41
02/08/2002,1230,555.15,555.15,555.15,555.15,5
02/08/2002,1430,554.45,554.45,554.45,554.45,1
02/08/2002,1522,553.95,558.05,553.95,553.95,87
02/11/2002,1030,562.55,564.15,562.25,562.55,30
02/11/2002,1130,564.25,564.45,562.65,564.25,29
02/11/2002,1230,563.15,565.65,563.15,563.15,3
02/11/2002,1330,565.65,565.65,565.25,565.55,25
02/11/2002,1430,566.95,566.95,566.95,566.95,3
02/11/2002,1530,567.45,567.45,566.75,566.85,3
02/11/2002,1606,568.15,569.15,567.65,568.15,43
02/12/2002,1030,568.15,568.15,564.45,568.15,25
02/12/2002,1130,565.35,567.55,565.35,565.35,10
02/12/2002,1430,569.05,569.05,568.35,569.05,4
02/12/2002,1530,569.35,569.65,567.75,569.65,17
02/12/2002,1611,566.95,567.65,565.65,566.65,55
02/13/2002,1030,569.05,571.65,568.25,569.05,23
02/13/2002,1130,571.45,571.45,570.05,571.45,3
02/13/2002,1330,571.35,571.35,571.15,571.35,3
02/13/2002,1430,570.65,570.65,570.65,570.65,1
02/13/2002,1530,569.65,569.85,569.65,569.65,6
02/13/2002,1602,571.35,571.65,571.35,571.35,11
02/14/2002,1030,572.15,572.15,571.35,572.15,11
02/14/2002,1130,574.75,574.75,574.75,574.75,4
02/14/2002,1230,574.55,574.55,573.85,573.85,11
02/14/2002,1430,572.65,572.65,572.45,572.65,14
02/14/2002,1530,572.55,573.05,569.95,572.65,167
02/14/2002,1606,570.95,571.45,569.65,571.05,30
02/15/2002,1030,569.15,569.85,564.85,565.55,79
02/15/2002,1130,566.25,568.05,566.25,566.25,67
02/15/2002,1230,566.35,566.35,566.25,566.25,9
02/15/2002,1330,566.55,566.55,566.05,566.55,4
02/15/2002,1430,566.75,566.75,566.75,566.75,4
02/15/2002,1530,568.05,568.15,568.05,568.15,5
02/15/2002,1602,565.75,566.55,565.15,565.75,73
02/19/2002,1030,563.65,563.65,560.45,563.65,21
02/19/2002,1130,559.75,559.75,558.75,559.75,18
02/19/2002,1230,558.75,559.35,558.75,558.75,13
02/19/2002,1330,558.15,558.25,557.35,558.05,13
02/19/2002,1430,558.55,558.55,557.95,557.95,8
02/19/2002,1530,557.75,558.65,557.25,557.65,209
02/19/2002,1604,556.95,557.15,555.75,557.05,45
02/20/2002,1030,559.45,561.35,559.25,559.45,26
02/20/2002,1130,559.05,559.15,556.65,559.05,15
02/20/2002,1230,556.65,556.65,555.75,556.65,10
02/20/2002,1330,555.35,557.05,555.05,557.05,60
02/20/2002,1430,556.75,558.45,556.75,556.75,153
02/20/2002,1530,559.95,562.85,559.95,559.95,136
02/20/2002,1615,562.35,565.05,562.35,562.35,101
02/21/2002,1030,564.15,565.15,563.15,564.15,25
02/21/2002,1130,564.15,564.15,563.75,564.15,38
02/21/2002,1230,564.85,565.15,564.05,564.85,36
02/21/2002,1330,565.15,565.25,565.15,565.15,20
02/21/2002,1430,564.85,564.85,563.45,564.85,171
02/21/2002,1530,561.85,561.85,559.65,561.75,35
02/21/2002,1614,558.95,558.95,555.95,558.85,176
02/22/2002,1030,556.65,558.75,556.65,556.65,48
02/22/2002,1130,557.15,557.85,555.65,557.15,60
02/22/2002,1230,558.15,558.25,558.15,558.25,15
02/22/2002,1330,557.75,558.05,557.75,557.75,10
02/22/2002,1430,557.35,558.55,557.35,557.35,37
02/22/2002,1530,561.15,563.65,560.95,561.15,126
02/22/2002,1600,562.45,562.45,561.65,562.45,19
02/25/2002,1030,564.35,565.35,563.45,564.35,27
02/25/2002,1230,565.55,565.55,565.55,565.55,1
02/25/2002,1430,566.75,566.95,566.75,566.95,15
02/25/2002,1530,567.15,569.15,567.15,568.35,34
02/25/2002,1615,568.85,568.85,567.75,568.85,73
02/26/2002,1030,570.15,571.85,568.05,570.15,34
02/26/2002,1130,568.25,569.85,568.25,568.25,16
02/26/2002,1230,569.75,569.85,569.75,569.85,10
02/26/2002,1430,570.65,570.65,570.65,570.65,6
02/26/2002,1530,571.15,572.65,571.15,571.15,25
02/26/2002,1630,573.35,573.35,573.35,573.35,10
02/27/2002,1030,574.35,577.05,574.35,574.35,17
02/27/2002,1130,577.15,577.15,576.75,577.15,17
02/27/2002,1230,577.45,577.45,577.35,577.45,2
02/27/2002,1430,576.95,576.95,574.45,576.95,44
02/27/2002,1530,574.05,574.05,572.45,574.05,54
02/27/2002,1600,573.75,574.55,573.75,573.75,79
02/28/2002,1030,574.15,575.15,574.15,574.15,4
